authors,title,conference,date start,date end,city,country,kind (invited / oral / poster),presentation number
"T. Shikama, N. Yoneda, K. Hanada, A. Fujikawa, S. Mori, H. Idei, T. Onchi, H. Zushi, M. Hasuo, M. Hasegawa, K. Nakamura, Y. Nagashima, K. Kuroda, A. Higashijima, and T. Nagata",Measurement of the ion species dependence of the intrinsic edge rotation in spherical tokamak QUEST,23rd International Conference on Plasma Surface Interactions in Controlled Fusion Devices (PSI-23),2018/06/18,2018/06/23,Princeton,USA,poster,297
"N. Yoneda, F. Scotti, R. E. Bell, T. Shikama, P. E. Hughes, A. Maan, V. A. Soukhanovskii, D. P. Boyle, R. P. Majeski, K. Hanada, M. Ono, and M. Hasuo",Measurement of Hydrogen Molecular Rotational Temperatures in LTX-β for the Thermometry of Plasma-Facing Lithium Surfaces,62nd Annual Meeting of the APS Division of Plasma Physics (APS-DPP62),2020/11/09,2020/11/13,(online),USA,poster,
"N. Yoneda, T. Shikama, K. Hanada, S. Mori, T. Onchi, K. Kuroda, M. Hasuo, H. Idei, K. Nakamura, Y. Nagashima, R. Ikezoe, M. Hasegawa, A. Higashijima, T. Nagata, and S. Shimabukuro",Toroidal Flow Measurements of Impurity Ions in QUEST ECH Plasmas using Multiple Viewing Chords Emission Spectroscopy,24th International Conference on Plasma Surface Interactions in Controlled Fusion Devices (PSI-24),2021/01/25,2021/01/29,Jeju (online),Korea,poster,
N. Yoneda; F. Scotti; R. Bell; T. Shikama; P. Hughes; A. Maan; V. Soukhanovskii; D. Boyle; R. Majeski; K. Hanada; M. Ono; M. Hasuo,Measurement of Hydrogen Molecular Rotational Temperatures in LTX-beta for the Thermometry of Plasma-Facing Lithium Surfaces,62nd APS DPP,2020,,Online,,poster,
N. Yoneda; T. Shikama; K. Hanada; S. Mori; T. Onchi; K. Kuroda; M. Hasuo; H. Idei; K. Nakamura; Y. Nagashima; R. Ikezoe; M. Hasegawa; A. Higashijima; T. Nagata; S. Shimabukuro,Toroidal Flow Measurements of Impurity Ions in QUEST ECH Plasmas using Multiple Viewing Chords Emission Spectroscopy (FP4-023),24th PSI,2020,,Online,,poster,
M. Nagasaki; T. Shikama; Y. Ueno; M. Hasuo,Investigation of the spatial integration effect on the bremsstrahlung spectrum of an atmospheric pressure glow discharge in a pure helium gas,APSPT-11,2019,,Kanazawa,Japan,oral,
T. Shikama,Studies on plasma-lithium surface interactions in LTX-b using optical emission spectroscopy of diatomic molecules,The 10th International Symposium to Advanced Energy Science,2019,,Uji,Japan,oral,
T. Shikama; T. Teramoto; A. Ueda; Y. Iida; M. Hasuo,Detection of anisotropy in the electron velocity distribution produced by electron cyclotron resonance heating using the polarization of helium atom emission lines,AAPPS-DPP2019,2019,,Hefei,China,invited,
T. Shikama,Near-infrared Zeeman Spectroscopy for the Spatially Resolved Measurement of Helium Emission Spectra,The 9th International Symposium to Advanced Energy Science,2018,,Uji,Japan,oral,
T. Shikama; K. Hanada; K. Nii; A. Fujikawa; H. Zushi; T. Onchi; M. Hasegawa; N. Yoneda; S. Mori; M. Hasuo; H. Idei; K. Nakamura; Y. Nagashima; K. Kuroda; A. Higashijima; T. Nagata,Measurement of the ion species dependence of the intrinsic edge rotation in spherical tokamak QUEST,23rd Plasma Surface Interaction in Conotrolled Fusion Devices,2018,,Princeton,USA,poster,
